,date/time,match,league,sport,bet365,betfair,st
307,2019-10-17 18:49:00,Belmont Park R2 1m Mdn,Belmont,Horse Racing,False,True,
308,2019-10-17 18:50:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
309,2019-10-17 18:51:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
310,2019-10-17 18:55:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
312,2019-10-17 19:00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
313,2019-10-17 19:00:00,Chelmsford City 7f Hcap,Chelmsford,Horse Racing,False,True,
314,2019-10-17 19:00:00,Gulfstream Park West Win Each Way,Gulfstream,Horse Racing,False,True,
315,2019-10-17 19:00:00,Escobar v Daniel,Las Vegas Challenger 2019,Tennis,False,True,
316,2019-10-17 19:00:00,Kozlov v Ritschard,Las Vegas Challenger 2019,Tennis,False,True,
317,2019-10-17 19:00:00,Popko v Duckworth,Las Vegas Challenger 2019,Tennis,False,True,
318,2019-10-17 19:00:00,V Pospisil v Krueger,Las Vegas Challenger 2019,Tennis,False,True,
319,2019-10-17 19:00:00,Cirstea v Goerges,WTA Luxembourg 2019,Tennis,False,True,
320,2019-10-17 19:03:00,Hove OR 515m,Hove,Greyhounds racing,False,True,
321,2019-10-17 19:04:00,Finger Lakes R3 1m Allw,Finger,Horse Racing,False,True,
322,2019-10-17 19:05:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
323,2019-10-17 19:06:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
324,2019-10-17 19:06:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
325,2019-10-17 19:07:00,Monmore A1 480m,Monmore,Greyhounds racing,False,True,
326,2019-10-17 19:08:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
327,2019-10-17 19:09:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
328,2019-10-17 19:10:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
329,2019-10-17 19:12:00,Keeneland R3 1m1f Claim,Keeneland,Horse Racing,False,True,
330,2019-10-17 19:15:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
331,2019-10-17 19:15:00,Wolverhampton 6f Nov Stks,Wolverhampton,Horse Racing,False,True,
332,2019-10-17 19:17:00,Hove OR 515m,Hove,Greyhounds racing,False,True,
333,2019-10-17 19:19:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
334,2019-10-17 19:22:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
335,2019-10-17 19:23:00,Monmore S2 630m,Monmore,Greyhounds racing,False,True,
336,2019-10-17 19:23:00,Belmont Park R3 7f Mdn Claim,Belmont,Horse Racing,False,True,
337,2019-10-17 19:25:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
338,2019-10-17 19:26:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
339,2019-10-17 19:30:00,FC Bayern Munchen v Lyon-Villeurbanne,Euroleague Men,Basketball,False,True,
341,2019-10-17 19:30:00,Atletico Grau v Deportivo Coopsol,Peruvian Copa Bicentenario,Soccer,False,True,
342,2019-10-17 19:30:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
343,2019-10-17 19:30:00,Chelmsford City 7f Nov Stks,Chelmsford,Horse Racing,False,True,
344,2019-10-17 19:30:00,Humbert v Goffin,ATP Antwerp 2019,Tennis,False,True,
345,2019-10-17 19:30:00,M Ymer v Stebe,ATP Stockholm 2019,Tennis,False,True,
346,2019-10-17 19:31:00,Finger Lakes R4 6f Mdn,Finger,Horse Racing,False,True,
347,2019-10-17 19:32:00,Gulfstream Park West Win Each Way,Gulfstream,Horse Racing,False,True,
348,2019-10-17 19:33:00,Hove OR 515m,Hove,Greyhounds racing,False,True,
349,2019-10-17 19:34:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
350,2019-10-17 19:36:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
351,2019-10-17 19:38:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
352,2019-10-17 19:38:00,Monmore D2 264m,Monmore,Greyhounds racing,False,True,
353,2019-10-17 19:40:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
354,2019-10-17 19:42:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
355,2019-10-17 19:42:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
356,2019-10-17 19:45:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
357,2019-10-17 19:45:00,Keeneland R4 1m1f Mdn,Keeneland,Horse Racing,False,True,
358,2019-10-17 19:45:00,Wolverhampton 1m4f Hcap,Wolverhampton,Horse Racing,False,True,
359,2019-10-17 19:49:00,Hove OR 515m,Hove,Greyhounds racing,False,True,
360,2019-10-17 19:52:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
361,2019-10-17 19:54:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
362,2019-10-17 19:54:00,Monmore A1 480m,Monmore,Greyhounds racing,False,True,
363,2019-10-17 19:57:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
364,2019-10-17 19:57:00,Belmont Park R4 1m1f Mdn,Belmont,Horse Racing,False,True,
365,2019-10-17 19:58:00,Finger Lakes R5 6f Claim,Finger,Horse Racing,False,True,
366,2019-10-17 19:59:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
367,2019-10-17 19:59:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
368,2019-10-17 20:00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
369,2019-10-17 20:00:00,Chelmsford City 1m Hcap,Chelmsford,Horse Racing,False,True,
370,2019-10-17 20:04:00,Gulfstream Park West Win Each Way,Gulfstream,Horse Racing,False,True,
371,2019-10-17 20:06:00,Hove OR 490m,Hove,Greyhounds racing,False,True,
372,2019-10-17 20:08:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
373,2019-10-17 20:10:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
374,2019-10-17 20:10:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
375,2019-10-17 20:11:00,Monmore A7 480m,Monmore,Greyhounds racing,False,True,
376,2019-10-17 20:13:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
377,2019-10-17 20:15:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
378,2019-10-17 20:15:00,Wolverhampton 1m1f Hcap,Wolverhampton,Horse Racing,False,True,
379,2019-10-17 20:16:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
380,2019-10-17 20:18:00,Keeneland R5 6f Allw,Keeneland,Horse Racing,False,True,
381,2019-10-17 20:21:00,Hove OR 285m,Hove,Greyhounds racing,False,True,
382,2019-10-17 20:23:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
383,2019-10-17 20:24:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
384,2019-10-17 20:25:00,Finger Lakes R6 1m Allw,Finger,Horse Racing,False,True,
385,2019-10-17 20:26:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
386,2019-10-17 20:27:00,Monmore A2 480m,Monmore,Greyhounds racing,False,True,
387,2019-10-17 20:29:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
388,2019-10-17 20:30:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
389,2019-10-17 20:30:00,Chelmsford City 2m Hcap,Chelmsford,Horse Racing,False,True,
390,2019-10-17 20:32:00,Belmont Park R5 1m Claim,Belmont,Horse Racing,False,True,
391,2019-10-17 20:33:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
392,2019-10-17 20:37:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
393,2019-10-17 20:37:00,Gulfstream Park West Win Each Way,Gulfstream,Horse Racing,False,True,
394,2019-10-17 20:38:00,Hove OR 695m,Hove,Greyhounds racing,False,True,
395,2019-10-17 20:40:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
396,2019-10-17 20:42:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
397,2019-10-17 20:42:00,Monmore S3 630m,Monmore,Greyhounds racing,False,True,
398,2019-10-17 20:44:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
399,2019-10-17 20:45:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
400,2019-10-17 20:45:00,Golden Gate Fields Win Each Way,Golden,Horse Racing,False,True,
401,2019-10-17 20:50:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
402,2019-10-17 20:51:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
403,2019-10-17 20:51:00,Keeneland R6 1m Allw,Keeneland,Horse Racing,False,True,
404,2019-10-17 20:52:00,Finger Lakes R7 6f Allw,Finger,Horse Racing,False,True,
405,2019-10-17 20:52:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
406,2019-10-17 20:53:00,Hove OR 515m,Hove,Greyhounds racing,False,True,
407,2019-10-17 20:57:00,Monmore A3 480m,Monmore,Greyhounds racing,False,True,
408,2019-10-17 20:58:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
409,2019-10-17 20:59:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
410,2019-10-17 21:00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
411,2019-10-17 21:00:00,Escobedo v E Gomez,Las Vegas Challenger 2019,Tennis,False,True,
412,2019-10-17 21:00:00,Johnson v Mi Redlicki,Las Vegas Challenger 2019,Tennis,False,True,
413,2019-10-17 21:00:00,Pervolarakis v Giron,Las Vegas Challenger 2019,Tennis,False,True,
414,2019-10-17 21:00:00,Ry Peniston v O'Connell,Las Vegas Challenger 2019,Tennis,False,True,
415,2019-10-17 21:05:00,Belmont Park R6 1m Claim,Belmont,Horse Racing,False,True,
416,2019-10-17 21:06:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
417,2019-10-17 21:07:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
418,2019-10-17 21:08:00,Hove OR 515m,Hove,Greyhounds racing,False,True,
419,2019-10-17 21:10:00,Gulfstream Park West Win Each Way,Gulfstream,Horse Racing,False,True,
420,2019-10-17 21:10:00,Hawthorne R1 1m Claim,Hawthorne,Horse Racing,False,True,
421,2019-10-17 21:11:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
422,2019-10-17 21:14:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
423,2019-10-17 21:14:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
424,2019-10-17 21:15:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
