,date/time,match,league,sport,bet365,betfair,st
283,2019-10-30 16:58:00+00:00,Monmore D2 264m,Other,Greyhounds racing,False,True,
284,2019-10-30 17:00:00+00:00,Lokomotiv Kuban v Tofas Bursa,Euro Cup,Basketball,False,True,
285,2019-10-30 17:00:00+00:00,CSKA Moscow v Olympiacos,Euroleague,Basketball,False,True,
286,2019-10-30 17:00:00+00:00,Brondby v SonderjyskE,Poland Cup,Soccer,False,True,
287,2019-10-30 17:00:00+00:00,Rio Ave v Moreirense,Portugal Primeira Liga,Soccer,False,True,
288,2019-10-30 17:00:00+00:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
289,2019-10-30 17:00:00+00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
290,2019-10-30 17:00:00+00:00,Dundalk 5f Mdn,Dundalk,Horse Racing,False,True,
291,2019-10-30 17:00:00+00:00,Gulfstream Park West Win Each Way,Wolverhampton,Horse Racing,False,True,
292,2019-10-30 17:00:00+00:00,Ilkel v Gojowczyk,Challenger Eckental,Tennis,False,True,
293,2019-10-30 17:02:00+00:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
294,2019-10-30 17:05:00+00:00,Valparaiso Win Each Way,Valparaiso Win Each Way ,Horse Racing,False,True,
295,2019-10-30 17:06:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
296,2019-10-30 17:08:00+00:00,Hove A3 515m,Other,Greyhounds racing,False,True,
297,2019-10-30 17:10:00+00:00,Finger Lakes R1 6f Claim,Finger Lakes,Horse Racing,False,True,
298,2019-10-30 17:10:00+00:00,Kempton 6f Nursery,Kempton,Horse Racing,False,True,
299,2019-10-30 17:12:00+00:00,Mahoning Valley Win Each Way,Mahoning Valley Win Each Way ,Horse Racing,False,True,
300,2019-10-30 17:15:00+00:00,Darussafaka v Unics Kazan,Euro Cup,Basketball,False,True,
301,2019-10-30 17:15:00+00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
302,2019-10-30 17:17:00+00:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
303,2019-10-30 17:18:00+00:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
304,2019-10-30 17:18:00+00:00,Monmore D3 264m,Other,Greyhounds racing,False,True,
305,2019-10-30 17:20:00+00:00,Wolverhampton 7f Hcap,Wolverhampton,Horse Racing,False,True,
306,2019-10-30 17:22:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
307,2019-10-30 17:22:00+00:00,San Isidro Win Each Way,Wolverhampton,Horse Racing,False,True,
308,2019-10-30 17:28:00+00:00,Hove B6 490m,Other,Greyhounds racing,False,True,
309,2019-10-30 17:29:00+00:00,Gulfstream Park West Win Each Way,Wolverhampton,Horse Racing,False,True,
310,2019-10-30 17:30:00+00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
311,2019-10-30 17:30:00+00:00,Dundalk 1m Claim Stks,Dundalk,Horse Racing,False,True,
312,2019-10-30 17:30:00+00:00,Wiskandt/Zima v Skupski/Smith,Challenger Eckental,Tennis,False,True,
313,2019-10-30 17:32:00+00:00,Valparaiso Win Each Way,Valparaiso Win Each Way ,Horse Racing,False,True,
314,2019-10-30 17:34:00+00:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
315,2019-10-30 17:34:00+00:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
316,2019-10-30 17:37:00+00:00,Monmore A3 480m,Other,Greyhounds racing,False,True,
317,2019-10-30 17:37:00+00:00,Finger Lakes R2 1m Mdn Claim,Finger Lakes,Horse Racing,False,True,
318,2019-10-30 17:39:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
319,2019-10-30 17:40:00+00:00,Kempton 1m Nov Stks,Kempton,Horse Racing,False,True,
320,2019-10-30 17:40:00+00:00,Mahoning Valley Win Each Way,Mahoning Valley Win Each Way ,Horse Racing,False,True,
321,2019-10-30 17:44:00+00:00,Hove D2 285m,Other,Greyhounds racing,False,True,
322,2019-10-30 17:45:00+00:00,Le Mans v Nice,Germany DFB Pokal,Soccer,False,True,
323,2019-10-30 17:45:00+00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
324,2019-10-30 17:47:00+00:00,San Isidro Win Each Way,Wolverhampton,Horse Racing,False,True,
325,2019-10-30 17:50:00+00:00,Benevento v US Cremonese,Italy Serie B,Soccer,False,True,
326,2019-10-30 17:50:00+00:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
